id,trial,best_strategy_rand,best_strategy_guess,best_strategies,best_alpha,best_nlogl,strong_alpha,strong_nlogl,weak1_alpha,weak1_nlogl,weak2_alpha,weak2_nlogl,proto_alpha,proto_nlogl
10937674.0,10,strong,strong,strong,1.0,-0.0,1.0,-0.0,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937677.0,1,weak1,guessing,"['strong', 'weak1', 'prototype']",0.5,4.498681156950467,0.5,4.498681156950467,0.5,4.498681156950467,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937677.0,2,prototype,guessing,"['strong', 'weak1', 'weak2', 'prototype']",0.0,5.545177444479562,8.881784197001252e-16,5.545177444479562,1.3322676295501878e-13,5.545177444480628,8.881784197001252e-16,5.545177444479562,0.0,5.545177444479562
10937677.0,3,prototype,prototype,prototype,1.0,-0.0,0.5,4.498681156950467,0.5,4.498681156950467,0.5,4.498681156950467,1.0,-0.0
10937677.0,4,strong,strong,strong,1.0,-0.0,1.0,-0.0,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937677.0,5,strong,strong,strong,0.5,4.498681156950467,0.5,4.498681156950467,0.0,5.545177444479562,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562
10937677.0,6,weak1,weak1,weak1,1.0,-0.0,8.881784197001252e-16,5.545177444479562,1.0,-0.0,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937677.0,7,weak1,guessing,"['strong', 'weak1']",0.5,4.498681156950467,0.5,4.498681156950467,0.5,4.498681156950467,0.0,5.545177444479562,8.881784197001252e-16,5.545177444479562
10937677.0,8,weak2,guessing,"['weak1', 'weak2', 'prototype']",0.5,4.498681156950467,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467,0.5,4.498681156950467,0.5,4.498681156950467
10937677.0,9,strong,strong,strong,1.0,-0.0,1.0,-0.0,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937677.0,10,prototype,prototype,prototype,1.0,-0.0,0.5,4.498681156950467,0.5,4.498681156950467,0.5,4.498681156950467,1.0,-0.0
10937679.0,1,strong,strong,strong,1.0,-0.0,1.0,-0.0,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937679.0,2,strong,strong,strong,1.0,-0.0,1.0,-0.0,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
10937679.0,3,weak2,guessing,"['strong', 'weak2', 'prototype']",0.5,4.498681156950467,0.5,4.498681156950467,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467,0.5,4.498681156950467
10937679.0,4,prototype,guessing,"['strong', 'weak1', 'weak2', 'prototype']",0.0,5.5451774444795765,1.3322676295501878e-13,5.545177444480628,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,3.552713678800501e-15,5.5451774444795765
10937679.0,5,strong,strong,strong,0.5,4.498681156950467,0.5,4.498681156950467,0.0,5.545177444479562,0.0,5.545177444479562,8.881784197001252e-16,5.545177444479562
10937679.0,6,prototype,guessing,"['strong', 'weak1', 'weak2', 'prototype']",0.0,5.5451774444795765,1.3322676295501878e-13,5.545177444480628,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,3.552713678800501e-15,5.5451774444795765
10937679.0,7,strong,strong,strong,1.0,-0.0,1.0,-0.0,8.881784197001252e-16,5.545177444479562,8.881784197001252e-16,5.545177444479562,0.5,4.498681156950467
